muestra,t,M 5A,DUT 30A,
19,9469,4.030,162.529,
20,9995,4.002,91.339,
21,10519,3.802,86.991,
22,11046,5.098,87.871,
23,11571,0.945,85.914,
24,12096,0.844,84.828,
muestra,t,M 5A,DUT 30A,
2,529,0.597,84.253,
3,1056,0.422,89.030,
4,1580,1.267,122.998,
5,2104,0.422,125.557,
6,2630,1.933,122.659,
7,3156,0.422,124.349,
8,3680,0.597,124.916,
9,4206,0.000,124.577,
10,4731,0.597,123.311,
11,5256,3.509,124.271,
12,5782,1.334,122.476,
13,6307,0.422,125.506,
14,6833,0.422,124.962,
15,7359,2.953,127.626,
16,7884,0.422,167.531,
17,8410,3.629,195.897,
18,8935,2.275,193.010,
19,9460,3.778,162.884,
20,9986,3.912,94.782,
21,10510,0.000,89.143,
22,11039,3.726,86.177,
23,11564,0.000,84.785,
24,12089,1.521,84.866,
muestra,t,M 5A,DUT 30A,
2,529,0.945,85.276,
3,1055,3.213,88.053,
4,1579,1.035,121.949,
5,2105,0.943,127.751,
6,2632,0.000,129.668,
7,3156,0.845,126.728,
8,3680,5.104,125.301,
9,4206,0.943,130.136,
10,4731,4.096,125.965,
11,5257,1.266,128.875,
12,5783,3.479,130.848,
13,6308,4.308,127.788,
14,6833,0.845,129.337,
15,7358,3.890,127.901,
16,7884,0.732,169.948,
17,8408,1.523,198.927,
18,8933,1.035,194.832,
19,9461,1.523,176.548,
20,9986,3.479,93.248,
21,10511,0.945,88.019,
22,11037,2.151,88.597,
23,11562,3.017,88.311,
24,12087,1.334,86.991,
muestra,t,M 5A,DUT 30A,
2,529,1.336,85.614,
3,1055,1.839,91.444,
4,1580,1.195,121.975,
5,2105,3.406,126.728,
6,2630,2.983,126.187,
7,3156,0.422,125.070,
8,3681,0.943,127.901,
9,4206,0.597,126.449,
10,4732,0.943,126.237,
11,5257,0.845,129.709,
12,5781,1.195,126.169,
13,6308,4.524,127.976,
14,6832,0.845,129.635,
15,7357,1.267,130.253,
16,7886,6.128,162.243,
17,8411,2.154,190.565,
18,8935,4.908,202.607,
19,9461,0.731,191.329,
20,9986,0.000,94.902,
21,10512,3.401,91.514,
22,11038,1.739,87.871,
23,11563,2.195,85.276,
24,12087,0.422,87.102,
muestra,t,M 5A,DUT 30A,
2,529,1.523,90.997,
3,1054,3.017,103.638,
4,1579,3.406,127.914,
5,2103,1.581,110.769,
6,2629,0.000,96.523,
7,3156,3.629,112.723,
8,3680,0.422,126.652,
9,4206,0.943,126.870,
10,4732,0.422,124.551,
11,5257,1.035,127.411,
12,5783,3.797,123.751,
13,6311,1.193,124.216,
14,6838,3.129,127.500,
15,7363,1.267,126.398,
16,7888,1.334,124.242,
17,8414,0.000,126.627,
18,8938,1.267,124.374,
19,9464,1.579,124.680,
20,9991,3.453,125.064,
21,10516,1.336,128.440,
22,11042,2.109,188.699,
23,11567,0.845,198.458,
24,12093,1.266,198.157,
25,12619,1.334,206.827,
26,13145,3.379,193.276,
27,13669,0.732,94.052,
28,14195,0.597,92.212,
29,14722,2.311,89.030,
30,15246,0.845,89.789,
31,15771,3.406,85.989,
32,16297,2.460,86.251,
muestra,t,M 5A,DUT 30A,
2,528,3.379,85.951,
3,1054,4.240,90.599,
4,1580,1.463,122.920,
5,2104,2.987,123.181,
6,2629,1.267,126.601,
7,3155,0.000,127.851,
8,3681,3.678,125.983,
9,4206,4.370,128.665,
10,4732,1.933,126.820,
11,5258,0.844,127.626,
12,5783,1.336,128.565,
13,6310,1.790,129.272,
14,6834,0.422,127.032,
15,7359,0.000,129.981,
16,7884,1.334,127.248,
17,8411,1.887,129.668,
18,8936,1.889,129.660,
19,9461,1.887,165.643,
20,9987,3.825,197.647,
21,10512,1.401,195.802,
22,11040,2.701,196.647,
23,11566,1.035,198.361,
24,12090,0.845,123.311,
25,12616,0.000,92.904,
26,13141,3.217,90.075,
27,13666,1.118,84.898,
28,14191,0.844,88.343,
29,14718,3.427,87.907,
muestra,t,M 5A,DUT 30A,
2,530,0.844,84.753,
3,1055,3.890,91.689,
4,1582,0.422,128.152,
5,2107,0.422,99.463,
6,2632,0.844,90.917,
7,3158,3.017,91.174,
8,3683,3.427,92.281,
9,4209,3.453,92.766,
10,4734,1.267,125.044,
11,5259,3.940,123.441,
12,5784,2.705,124.761,
13,6309,1.523,127.562,
14,6837,0.844,124.397,
15,7362,3.432,124.941,
16,7887,3.872,126.474,
17,8412,3.353,127.587,
18,8936,3.917,129.660,
19,9462,4.884,126.870,
20,9988,0.422,128.790,
21,10512,0.000,164.649,
22,11038,0.000,198.060,
23,11564,1.336,200.951,
24,12088,1.336,201.653,
25,12614,0.422,201.174,
26,13140,0.000,134.714,
27,13664,1.523,90.962,
28,14189,0.422,94.868,
29,14715,4.810,89.389,
30,15240,0.422,86.473,
31,15764,0.422,89.179,
muestra,t,M 5A,DUT 30A,
2,528,0.000,83.679,
3,1056,0.597,95.790,
4,1583,0.422,123.128,
5,2108,0.732,128.840,
6,2633,0.844,126.059,
7,3160,0.844,127.274,
8,3684,1.463,125.582,
9,4210,3.375,127.701,
10,4736,0.000,125.249,
11,5260,3.017,126.195,
12,5785,0.000,130.622,
13,6310,1.035,124.116,
14,6835,1.581,125.326,
15,7359,0.945,127.385,
16,7885,0.000,129.594,
17,8410,4.451,128.265,
18,8935,3.848,125.608,
19,9461,3.375,162.558,
20,9986,0.422,200.679,
21,10511,3.895,201.254,
22,11037,1.266,203.517,
23,11563,0.845,203.965,
24,12090,0.732,135.498,
25,12615,1.193,90.422,
26,13141,3.406,92.468,
27,13666,3.912,87.248,
28,14192,0.422,87.871,
29,14717,4.510,87.690,
muestra,t,M 5A,DUT 30A,
2,530,2.798,86.288,
3,1055,3.406,94.461,
4,1579,3.483,126.347,
5,2105,0.000,123.673,
6,2630,1.636,122.998,
7,3156,3.427,124.962,
8,3680,0.422,125.557,
9,4207,0.844,125.601,
10,4731,0.597,128.115,
11,5256,3.075,124.916,
12,5782,0.422,126.491,
13,6307,0.422,126.576,
14,6832,2.535,127.461,
15,7357,2.983,127.876,
16,7885,1.336,127.007,
17,8410,4.203,126.474,
18,8935,3.375,130.775,
19,9462,3.157,125.856,
20,9987,1.523,192.326,
21,10513,3.773,196.989,
22,11038,0.597,203.271,
23,11563,4.052,200.551,
24,12087,0.000,196.670,
25,12614,0.943,94.375,
26,13139,0.422,94.205,
27,13664,3.104,87.800,
28,14190,0.422,88.271,
29,14714,3.848,86.621,
30,15240,3.375,87.980,
muestra,t,M 5A,DUT 30A,
2,529,0.000,87.543,
3,1054,3.912,89.746,
4,1579,0.845,129.387,
5,2104,0.597,129.882,
6,2627,4.002,126.744,
7,3153,1.523,125.018,
8,3677,3.406,128.290,
9,4201,3.802,126.931,
10,4728,0.422,129.098,
11,5253,4.182,130.327,
12,5777,3.017,127.108,
13,6303,0.844,129.890,
14,6829,1.035,130.671,
15,7353,0.845,128.039,
16,7879,0.943,125.576,
17,8404,1.336,125.275,
18,8930,1.334,130.628,
19,9456,0.943,128.501,
20,9981,0.845,171.846,
21,10506,3.848,191.925,
22,11032,1.887,200.456,
23,11557,0.945,205.315,
24,12082,0.945,199.475,
25,12607,1.195,115.204,
26,13133,0.597,93.899,
27,13660,2.112,90.289,
28,14185,0.422,87.507,
29,14711,0.943,85.054,
30,15235,0.422,88.710,
muestra,t,M 5A,DUT 30A,
2,530,0.422,85.804,
3,1055,3.406,90.750,
4,1580,2.896,92.433,
5,2104,3.406,106.572,
6,2631,1.521,125.499,
7,3155,3.299,127.007,
8,3681,3.013,126.845,
9,4207,2.983,124.397,
10,4732,0.422,129.437,
11,5257,0.422,126.677,
12,5782,0.000,125.550,
13,6308,0.422,126.779,
14,6833,1.118,126.373,
15,7358,3.504,128.576,
16,7885,0.943,131.044,
17,8410,0.732,128.265,
18,8938,0.000,126.769,
19,9463,2.604,129.412,
20,9989,0.731,127.600,
21,10515,0.000,185.082,
22,11040,3.046,202.892,
23,11565,0.597,208.421,
24,12090,0.845,205.722,
25,12617,3.401,202.886,
26,13141,1.267,97.835,
27,13666,0.945,89.574,
28,14191,0.597,85.318,
29,14718,0.731,86.991,
30,15242,4.224,87.946,
muestra,t,M 5A,DUT 30A,
2,530,2.953,85.505,
3,1055,0.597,88.710,
4,1580,4.853,123.467,
5,2105,0.731,127.148,
6,2631,3.432,128.340,
7,3155,3.825,126.627,
8,3682,3.895,127.007,
9,4209,0.731,128.376,
10,4733,3.379,126.753,
11,5259,1.634,126.060,
12,5786,3.797,128.127,
13,6310,0.945,125.454,
14,6836,3.071,127.575,
15,7363,1.688,126.895,
16,7887,2.535,126.449,
17,8413,0.597,125.805,
18,8939,3.820,128.326,
19,9464,3.432,126.016,
20,9989,0.422,135.166,
21,10515,5.115,202.222,
22,11041,0.422,199.459,
23,11565,0.945,203.697,
24,12091,0.943,204.741,
25,12617,0.000,172.108,
26,13142,0.731,94.443,
27,13667,0.945,89.503,
28,14192,0.000,91.350,
29,14720,1.579,88.705,
30,15245,2.154,87.580,
31,15771,2.983,86.288,
muestra,t,M 5A,DUT 30A,
2,530,3.820,86.474,
3,1055,0.597,92.120,
4,1581,0.844,113.148,
5,2107,0.597,127.072,
6,2632,3.584,124.426,
7,3157,0.845,126.424,
8,3682,2.109,129.569,
9,4209,0.422,122.946,
10,4733,3.406,125.659,
11,5259,1.033,125.039,
12,5786,1.790,123.284,
13,6310,3.458,127.310,
14,6836,0.422,124.654,
15,7362,0.731,125.958,
16,7887,0.422,126.931,
17,8413,3.185,123.751,
18,8939,3.427,125.601,
19,9468,2.151,124.808,
20,9993,3.379,124.219,
21,10518,0.422,185.583,
22,11044,3.406,201.605,
23,11569,0.422,198.118,
24,12095,2.953,210.284,
25,12620,0.422,212.359,
26,13146,0.000,89.782,
27,13672,0.422,89.853,
28,14197,1.401,86.324,
29,14723,3.912,85.954,
muestra,t,M 5A,DUT 30A,
2,530,3.504,86.028,
3,1055,3.609,92.538,
4,1580,2.535,121.315,
5,2105,0.731,126.794,
6,2632,2.767,123.621,
7,3157,1.401,120.917,
8,3682,0.943,123.154,
9,4209,3.375,121.187,
10,4736,0.945,121.791,
11,5262,0.422,124.551,
12,5787,0.000,125.480,
13,6312,2.987,127.259,
14,6837,0.731,128.002,
15,7363,3.917,125.378,
16,7887,3.802,128.440,
17,8417,0.597,127.047,
18,8942,0.422,127.989,
19,9468,0.000,124.190,
20,9992,0.945,126.093,
21,10519,0.000,178.634,
22,11044,2.570,181.288,
23,11568,0.000,183.821,
24,12095,0.000,188.699,
25,12619,0.597,198.539,
26,13145,2.272,133.898,
27,13671,5.098,89.818,
28,14196,0.945,88.201,
29,14720,0.422,88.238,
30,15246,0.000,86.585,
31,15773,0.000,83.985,
muestra,t,M 5A,DUT 30A,
2,531,0.844,89.030,
3,1055,0.845,94.733,
4,1579,2.638,124.478,
5,2105,0.731,125.525,
6,2630,4.007,123.883,
7,3156,1.334,126.693,
8,3682,0.597,124.525,
9,4207,3.707,128.565,
10,4731,2.154,126.728,
11,5257,0.943,128.252,
12,5783,0.422,127.385,
13,6308,2.109,127.626,
14,6833,3.634,127.032,
15,7358,3.509,127.637,
16,7882,0.845,125.172,
17,8408,3.375,129.024,
18,8935,0.943,128.202,
19,9459,2.570,126.576,
20,9981,0.422,127.662,
21,10507,3.401,172.966,
22,11034,3.912,204.224,
23,11560,3.750,201.714,
24,12086,4.155,201.174,
25,12612,3.217,203.745,
26,13136,0.422,97.638,
27,13662,3.654,91.444,
28,14187,1.035,87.910,
29,14712,1.463,85.389,
30,15236,1.336,88.746,
31,15763,1.266,84.222,
muestra,t,M 5A,DUT 30A,
2,529,3.802,85.050,
3,1055,0.597,91.128,
4,1580,0.422,123.727,
5,2106,0.000,127.097,
6,2632,0.000,124.731,
7,3157,0.845,125.172,
8,3682,0.422,121.923,
9,4206,0.732,124.658,
10,4735,3.479,125.499,
11,5260,0.845,126.373,
12,5784,0.945,124.012,
13,6311,0.844,123.621,
14,6835,0.422,124.219,
15,7360,2.195,126.042,
16,7886,5.115,126.085,
17,8411,0.422,122.448,
18,8937,3.797,123.284,
19,9463,0.422,124.705,
20,9988,4.779,125.224,
21,10513,0.945,186.372,
22,11039,3.629,199.959,
23,11565,3.017,202.067,
24,12089,0.000,199.395,
25,12615,2.566,206.005,
26,13142,1.266,101.538,
27,13666,5.122,93.264,
28,14192,0.422,88.669,
29,14718,0.945,87.580,
30,15244,1.118,88.710,
31,15770,0.597,89.245,
muestra,t,M 5A,DUT 30A,
2,531,0.731,84.412,
3,1055,0.422,93.470,
4,1580,3.406,98.588,
5,2105,0.943,121.029,
6,2632,0.000,123.544,
7,3156,0.945,121.262,
8,3682,0.000,122.371,
9,4207,0.597,125.429,
10,4732,0.000,123.181,
11,5258,1.334,121.504,
12,5783,2.957,125.044,
13,6308,3.406,126.220,
14,6833,0.844,125.116,
15,7360,3.071,123.258,
16,7886,0.000,130.161,
17,8410,2.112,126.118,
18,8937,0.943,127.851,
19,9462,0.000,128.089,
20,9989,3.104,128.190,
21,10514,3.895,161.537,
22,11039,0.422,200.375,
23,11563,2.957,203.413,
24,12089,1.739,196.142,
25,12615,5.122,198.749,
26,13140,3.825,145.180,
27,13665,0.597,95.153,
28,14192,5.517,87.943,
29,14718,1.334,88.850,
30,15244,2.272,87.761,
31,15769,5.683,88.565,
muestra,t,M 5A,DUT 30A,
2,529,0.422,87.470,
3,1054,0.000,91.444,
4,1580,3.963,121.183,
5,2105,0.845,125.736,
6,2630,1.033,124.602,
7,3157,3.935,123.803,
8,3682,1.581,125.429,
9,4207,0.731,122.633,
10,4735,0.732,124.581,
11,5261,2.151,121.978,
12,5787,0.422,123.284,
13,6312,0.597,126.905,
14,6838,0.000,125.039,
15,7364,0.731,128.252,
16,7889,0.597,124.787,
17,8415,0.000,126.085,
18,8940,0.945,125.863,
19,9465,0.422,128.290,
20,9990,3.802,127.788,
21,10514,3.133,178.394,
22,11040,0.000,192.598,
23,11566,4.245,195.704,
24,12091,1.267,208.698,
25,12617,4.344,200.535,
26,13142,0.597,93.367,
27,13667,2.987,95.845,
28,14192,5.115,87.834,
29,14719,3.427,84.677,
30,15247,3.980,84.525,
31,15773,3.479,88.307,
muestra,t,M 5A,DUT 30A,
2,529,1.981,81.816,
3,1055,3.890,94.307,
4,1580,2.535,93.847,
5,2104,0.000,91.596,
6,2630,0.844,120.098,
7,3156,1.690,127.411,
8,3680,1.690,124.090,
9,4206,0.000,120.445,
10,4731,0.000,126.652,
11,5257,5.115,118.676,
12,5782,0.845,123.233,
13,6307,1.690,125.224,
14,6832,0.000,123.701,
15,7356,0.597,123.883,
16,7883,0.597,124.242,
17,8407,0.000,125.838,
18,8932,3.379,125.378,
19,9457,2.668,125.601,
20,9985,2.154,123.467,
21,10510,3.432,124.400,
22,11035,0.000,195.782,
23,11561,1.267,198.280,
24,12086,1.690,197.972,
25,12611,3.726,196.125,
26,13137,0.422,173.557,
27,13661,0.422,93.436,
28,14187,3.797,90.882,
29,14712,1.118,86.843,
30,15238,3.453,87.028,
31,15762,3.326,85.839,
32,16289,1.193,84.753,
muestra,t,M 5A,DUT 30A,
2,529,0.000,85.389,
3,1053,3.406,90.997,
4,1578,1.401,121.633,
5,2104,3.401,123.544,
6,2629,1.267,123.883,
7,3153,4.007,125.172,
8,3679,0.422,123.284,
9,4208,3.654,123.725,
10,4733,0.422,124.735,
11,5259,2.192,126.110,
12,5784,3.017,128.140,
13,6308,3.104,126.067,
14,6834,2.272,125.141,
15,7359,2.987,129.238,
16,7884,2.235,130.129,
17,8409,0.844,129.048,
18,8935,0.422,127.813,
19,9459,0.422,127.788,
20,9983,0.845,124.478,
21,10510,1.033,173.373,
22,11035,2.865,200.391,
23,11559,0.732,214.107,
24,12086,3.375,205.210,
25,12611,0.945,204.422,
26,13135,0.000,116.369,
27,13661,0.422,91.724,
28,14187,1.193,85.804,
29,14715,0.943,86.733,
30,15241,0.844,87.175,
muestra,t,M 5A,DUT 30A,
2,529,1.035,86.658,
3,1055,1.033,93.248,
4,1581,0.844,112.580,
5,2106,3.133,124.735,
6,2631,3.940,124.349,
7,3156,4.240,124.061,
8,3683,0.731,126.288,
9,4208,0.000,126.449,
10,4733,0.597,124.551,
11,5259,1.792,124.710,
12,5783,3.509,123.181,
13,6309,0.422,126.946,
14,6835,3.802,130.475,
15,7359,0.732,127.562,
16,7883,0.422,123.857,
17,8409,0.000,126.996,
18,8935,0.597,127.335,
19,9459,0.422,127.864,
20,9987,2.272,122.240,
21,10513,2.275,163.573,
22,11037,0.000,198.458,
23,11563,0.943,208.371,
24,12089,0.000,202.860,
25,12613,0.845,196.310,
26,13139,0.000,130.358,
27,13664,0.597,93.229,
28,14189,0.422,90.502,
29,14714,0.422,88.561,
30,15241,0.000,86.733,
31,15765,0.597,86.732,
muestra,t,M 5A,DUT 30A,
2,528,3.534,86.398,
3,1055,3.371,93.061,
4,1581,1.636,123.363,
5,2105,0.597,126.601,
6,2631,2.151,124.705,
7,3156,4.203,126.905,
8,3682,3.912,126.212,
9,4208,0.943,127.148,
10,4736,1.841,122.422,
11,5260,0.597,126.220,
12,5786,0.422,131.435,
13,6311,1.742,123.961,
14,6837,0.731,126.895,
15,7362,3.432,127.461,
16,7887,0.845,126.829,
17,8413,0.422,127.901,
18,8938,0.422,126.703,
19,9464,3.504,126.567,
20,9990,0.422,126.313,
21,10515,0.422,186.510,
22,11042,0.000,203.470,
23,11566,1.336,205.002,
24,12091,0.000,199.024,
25,12617,3.980,198.286,
26,13142,3.825,103.421,
27,13667,3.017,93.229,
28,14192,4.810,88.994,
29,14719,3.820,88.958,
30,15247,0.000,84.941,
31,15773,3.479,83.188,
muestra,t,M 5A,DUT 30A,
2,530,0.000,89.071,
3,1054,0.945,92.190,
4,1581,1.790,98.592,
5,2106,4.007,89.825,
6,2630,4.926,90.324,
7,3156,0.422,92.558,
8,3682,1.933,95.656,
9,4207,0.422,89.539,
10,4732,1.790,88.922,
11,5258,2.570,110.566,
12,5782,1.267,126.804,
13,6308,0.000,126.339,
14,6833,0.422,122.553,
15,7359,0.422,124.113,
16,7884,0.945,124.038,
17,8410,1.399,125.754,
18,8935,4.245,124.271,
19,9460,2.672,126.093,
20,9989,0.000,127.324,
21,10513,3.217,127.360,
22,11038,0.422,124.245,
23,11563,0.943,124.987,
24,12089,3.917,186.803,
25,12614,3.755,197.354,
26,13140,0.844,199.366,
27,13665,3.189,196.719,
28,14190,5.989,196.097,
29,14716,3.820,91.269,
30,15241,2.275,89.754,
31,15766,1.195,87.360,
32,16291,5.150,86.103,
33,16818,1.933,83.840,
muestra,t,M 5A,DUT 30A,
2,529,0.597,86.436,
3,1055,0.422,90.351,
4,1580,2.987,120.064,
5,2104,1.336,123.076,
6,2630,1.334,122.397,
7,3158,1.035,124.658,
8,3683,5.191,122.396,
9,4208,3.453,124.035,
10,4735,0.597,121.002,
11,5260,0.597,124.012,
12,5785,4.047,122.004,
13,6312,2.798,123.906,
14,6837,0.732,122.186,
15,7361,0.422,121.896,
16,7888,0.422,122.685,
17,8412,0.732,122.815,
18,8938,3.375,125.295,
19,9465,1.334,122.528,
20,9989,1.195,122.238,
21,10514,0.000,177.111,
22,11039,0.597,197.298,
23,11565,3.189,196.604,
24,12090,0.597,196.865,
25,12616,0.000,207.539,
26,13142,0.597,115.419,
27,13668,3.427,92.489,
28,14197,2.148,91.642,
29,14722,0.000,88.528,
30,15247,0.000,86.917,
31,15772,1.033,85.580,
muestra,t,M 5A,DUT 30A,
2,531,1.033,84.374,
3,1056,3.895,94.325,
4,1580,2.927,123.441,
5,2106,1.116,131.775,
6,2631,2.535,133.589,
7,3155,0.732,131.113,
8,3681,0.000,134.352,
9,4206,0.000,135.759,
10,4731,1.581,136.608,
11,5256,3.100,133.226,
12,5782,0.845,132.235,
13,6306,2.738,139.723,
14,6831,0.732,198.684,
15,7357,3.980,157.473,
16,7883,0.844,88.669,
17,8407,2.570,89.610,
18,8943,0.597,84.753,
19,9467,3.609,87.946,
muestra,t,M 5A,DUT 30A,
2,531,3.935,84.715,
3,1055,1.267,90.360,
4,1581,3.453,133.274,
5,2106,0.945,132.672,
6,2631,0.422,132.332,
7,3155,0.597,133.685,
8,3682,3.820,130.677,
9,4206,3.584,131.187,
10,4731,1.523,132.259,
11,5256,1.266,128.102,
12,5783,3.479,134.852,
13,6308,1.336,153.879,
14,6833,1.033,196.761,
15,7359,0.845,127.713,
16,7883,0.945,89.035,
17,8409,0.844,90.564,
18,8934,0.000,88.565,
19,9458,3.802,87.433,
muestra,t,M 5A,DUT 30A,
2,531,1.116,83.188,
3,1056,3.406,93.367,
4,1581,4.370,130.080,
5,2105,3.985,132.454,
6,2632,3.980,132.479,
7,3156,0.422,134.212,
8,3682,0.597,131.605,
9,4208,3.530,131.751,
10,4739,0.422,134.542,
11,5263,0.597,131.822,
12,5790,0.000,133.514,
13,6315,0.597,162.172,
14,6839,4.798,201.605,
15,7365,0.844,113.798,
16,7890,3.872,88.420,
17,8416,1.887,87.505,
18,8942,1.399,83.572,
19,9467,0.422,87.433,
muestra,t,M 5A,DUT 30A,
2,529,0.597,87.360,
3,1056,3.268,97.678,
4,1582,0.732,132.065,
5,2106,0.597,130.819,
6,2632,0.844,128.426,
7,3159,0.422,131.605,
8,3683,0.000,130.941,
9,4209,1.579,132.067,
10,4736,1.979,133.250,
11,5260,2.235,131.602,
12,5786,2.151,132.913,
13,6312,0.943,160.336,
14,6838,3.432,194.353,
15,7362,4.117,110.479,
16,7888,2.953,86.511,
17,8413,3.825,88.201,
18,8938,0.597,88.854,
19,9463,0.422,89.496,
muestra,t,M 5A,DUT 30A,
2,528,0.422,85.839,
3,1054,3.100,87.834,
4,1579,0.000,128.490,
5,2106,0.000,133.709,
6,2632,4.047,133.970,
7,3157,0.422,130.843,
8,3683,0.844,129.222,
9,4209,0.000,132.382,
10,4734,0.597,131.627,
11,5259,2.112,133.901,
12,5783,3.634,135.427,
13,6310,3.401,167.106,
14,6835,0.000,193.608,
15,7359,3.483,121.448,
16,7886,2.701,87.798,
17,8410,0.945,85.201,
18,8934,1.463,84.215,
19,9460,1.790,87.980,
muestra,t,M 5A,DUT 30A,
2,529,0.845,85.012,
3,1055,5.150,92.558,
4,1581,2.983,130.652,
5,2106,1.195,128.989,
6,2630,0.000,133.540,
7,3159,0.422,130.897,
8,3684,1.118,132.841,
9,4209,1.267,130.129,
10,4734,3.453,130.087,
11,5260,4.117,130.770,
12,5785,1.267,132.187,
13,6310,0.943,161.053,
14,6836,0.422,200.919,
15,7361,4.052,111.030,
16,7885,0.845,86.361,
17,8412,3.427,86.622,
18,8936,1.792,84.329,
19,9461,1.463,88.492,
muestra,t,M 5A,DUT 30A,
2,530,1.739,86.103,
3,1054,0.597,90.715,
4,1581,1.839,132.768,
5,2106,1.336,132.187,
6,2630,2.154,131.480,
7,3157,0.943,126.845,
8,3681,0.945,128.340,
9,4208,3.895,129.238,
10,4734,1.033,126.592,
11,5259,0.422,126.804,
12,5785,3.797,131.435,
13,6311,2.272,128.899,
14,6837,3.104,194.997,
15,7361,3.895,175.892,
16,7888,3.600,91.538,
17,8414,0.845,89.932,
18,8939,3.530,88.053,
19,9465,1.334,85.580,
20,9990,1.035,87.983,
muestra,t,M 5A,DUT 30A,
2,531,2.983,86.251,
3,1055,3.161,89.861,
4,1579,2.112,124.090,
5,2105,0.000,121.055,
6,2631,3.483,119.178,
7,3155,0.845,116.590,
8,3681,2.232,120.817,
9,4206,3.075,119.286,
10,4733,3.509,131.919,
11,5259,0.000,132.648,
12,5784,0.000,132.696,
13,6309,1.035,132.865,
14,6835,2.566,199.446,
15,7360,3.683,168.639,
16,7885,0.422,91.174,
17,8409,1.792,86.175,
18,8936,1.033,82.802,
19,9460,1.195,83.756,
20,9984,0.422,82.597,
muestra,t,M 5A,DUT 30A,
2,531,1.033,84.487,
3,1055,0.597,87.249,
4,1581,1.266,126.440,
5,2107,3.509,126.829,
6,2631,0.422,129.362,
7,3157,0.000,126.516,
8,3682,3.104,129.412,
9,4207,0.845,130.647,
10,4732,0.000,128.476,
11,5259,0.422,128.052,
12,5786,3.848,129.213,
13,6312,0.943,126.009,
14,6837,0.845,201.318,
15,7362,0.000,173.205,
16,7887,0.943,88.813,
17,8414,3.504,89.281,
18,8939,0.422,88.016,
19,9464,4.182,86.547,
20,9990,1.634,85.054,
muestra,t,M 5A,DUT 30A,
2,529,0.845,82.985,
3,1053,0.845,91.666,
4,1580,0.844,124.010,
5,2104,1.035,128.240,
6,2630,0.000,126.136,
7,3157,1.399,128.401,
8,3681,3.379,130.671,
9,4205,0.422,126.753,
10,4731,0.844,125.244,
11,5256,0.845,130.548,
12,5782,0.000,127.525,
13,6310,1.033,128.725,
14,6835,1.035,192.993,
15,7361,0.422,180.223,
16,7887,3.401,90.174,
17,8412,3.272,85.464,
18,8937,3.917,84.595,
19,9462,0.000,82.298,
20,9987,0.422,82.753,
muestra,t,M 5A,DUT 30A,
2,530,0.422,85.991,
3,1054,0.422,92.329,
4,1581,3.797,130.505,
5,2105,0.000,131.431,
6,2630,2.195,131.627,
7,3155,2.109,128.974,
8,3682,0.943,130.456,
9,4207,3.483,131.675,
10,4732,0.000,132.961,
11,5258,4.430,134.547,
12,5782,3.778,132.454,
13,6308,1.521,152.070,
14,6837,0.943,201.317,
15,7362,0.945,134.762,
16,7888,3.980,87.578,
17,8414,3.797,84.525,
18,8939,1.035,85.989,
19,9464,1.634,84.145,
20,9991,2.983,86.400,
muestra,t,M 5A,DUT 30A,
2,530,1.401,83.832,
3,1055,4.182,91.350,
4,1580,0.422,119.107,
5,2107,0.943,129.519,
6,2632,1.336,130.671,
7,3156,3.825,128.640,
8,3683,1.334,129.123,
9,4208,0.945,129.138,
10,4732,0.732,128.690,
11,5259,3.129,129.519,
12,5783,0.422,129.907,
13,6308,0.945,131.211,
14,6834,1.116,197.833,
15,7363,2.701,166.376,
16,7888,0.422,91.279,
17,8413,0.422,88.922,
18,8939,3.104,84.367,
19,9463,0.945,83.448,
muestra,t,M 5A,DUT 30A,
2,531,0.000,86.288,
3,1055,1.035,92.085,
4,1581,0.844,116.551,
5,2106,1.742,133.251,
6,2631,1.336,130.499,
7,3157,3.427,128.626,
8,3682,3.609,131.846,
9,4208,0.000,129.519,
10,4734,3.773,131.191,
11,5259,1.267,130.721,
12,5785,1.266,133.370,
13,6311,0.597,134.566,
14,6837,1.035,190.885,
15,7361,0.945,164.395,
16,7887,3.797,91.374,
17,8416,1.334,88.343,
18,8940,0.845,84.747,
19,9466,1.266,87.615,
20,9992,0.597,81.894,
muestra,t,M 5A,DUT 30A,
2,530,1.521,86.659,
3,1056,3.100,88.307,
4,1581,3.483,129.138,
5,2106,1.336,127.082,
6,2631,0.844,130.530,
7,3158,2.349,127.475,
8,3683,0.732,130.401,
9,4207,3.534,127.436,
10,4734,0.597,128.351,
11,5259,1.981,130.573,
12,5783,1.118,128.415,
13,6310,0.844,128.102,
14,6835,2.112,202.242,
15,7359,0.945,173.113,
16,7886,3.397,89.633,
17,8412,3.825,89.107,
18,8938,1.267,84.861,
19,9464,3.629,84.790,
20,9989,0.422,85.764,
muestra,t,M 5A,DUT 30A,
2,531,3.890,85.318,
3,1056,3.272,93.057,
4,1581,3.844,121.583,
5,2108,0.844,117.455,
6,2632,2.957,118.313,
7,3158,3.427,115.613,
8,3684,4.096,118.611,
9,4208,3.825,118.041,
10,4734,6.172,119.215,
11,5260,0.000,120.385,
12,5784,0.422,128.840,
13,6310,0.844,126.009,
14,6836,1.118,179.597,
15,7360,3.379,186.252,
16,7886,1.933,90.032,
17,8413,3.797,87.834,
18,8937,1.195,87.507,
19,9464,3.825,85.276,
20,9991,0.422,85.243,
muestra,t,M 5A,DUT 30A,
2,531,0.844,83.649,
